Classes
Roti Bakar Srikaja
Boeboer Ajam Oey
Ijs Teh
Ijs Tjendol Ambyar
Club Sandwich
Roti Prata Pisang Soesoe Tjokelat Kedjoe
Nasi Ajam Goreng Mentega
Koffie Tarek
Roti Telor Blanda
Pisang Goreng Polos
Specialty Aceh Gayo Takengon
Koffie Soesoe Indotjina
Teh Wangi Tjap Potji
Loempia Oedang
Otak Otak Singapore
Bakmie Djawa Goreng
Roti Bakar Corned Telor
Ijs Koffie Soesoe Indotjina
Kopi Aceh Gayo (Arabika)
Teh Tarek Semenandjoeng
Mie Ajam Baso
Talas Sambel Roa
Singkong Sambel Roa
Nasi Goreng Teri Medan
Pisang Bakar Tjokelat Kedjoe
Kwetiau Goreng Sapi
Wedang Oewoeh Imogiri
Ijs Teh Letji
Koffie Sosoe Dingin Dalam Botol
GF IJS KOPI KEPONAKAN
Ijs Koffie Keponakan
Chicken Wings Spicy
Chicken Sandwich
Mie Jamin Baso
Nasi Goreng Kambing
Koffie Single Origin Toraja Kalosi (250gr)
Koffie Single Origin Aceh Gayo (250gr)
Air Minoem Dalam Kemasan
Ijs Thai Tea
Nasi Goreng Ndeso
Sego Ireng Spesial
Teh Djahe Salatiga
Pisang Bakar Polos
Sego Ireng
Telor (1 pcs)
Roti Bakar Kedjoe
Roti Bakar Tjokelat
Telor 1/2 Mateng (Ajam Kampoeng)
Roti Bakar Kedjoe Tjokelat
Teh Toebroek Blontank
Keripik Singkong (220gr)
Ijs Koffie Tarek
Teh Tarek Djahe
Beras Kentjoer
Koffie O atawa Koffie Saring
Robusta Temanggung
Ijs Teh Tarek Semenandjoeng
Nasi Goreng Kampoeng
Ijs Cappuccino
Nasi Ikan Dori Sambal Matah
Roti Bakar Prantjis
Nasi Tus Tus Tjakalang
Roti Prata Kari Ajam
Nasi Tiem Petak 9
Spaghetti Toena Pedas
Cappucino (Double Shot)
Oey Platter
Telor Dadar (1pcs)
Pisang Goreng Tjoklat Kedjoe
Pempek Crispy
Kentang Goreng
Mie Kepiting Pontianak
Kopi Bali Kintamani (Arabika)
Milo Dinosaurus
Soto Ndeso (+Nasi)
Djoes Kedondong
Nasi Goreng Djambal
Teh Panas
Koffie Single Origin Bali Kintamani (250gr)
Djoes Djeroek
Ijs Teh Limao
Nasi Ajam Lada Hitam
Bakmie Djawa Reboes
Roti Butter Srikaja
Ijs Tjingtjao Letji
Teh Anti Flu
Coca Cola
Ijs Koffie Sisiliana
Singkong Tjokelat Kedjoe
Sop Boentoet Koeah (+Nasi)
Sop Boentoet Goreng Pedas (+Nasi)
Soesoe Kental Manis
Nasi Goreng Sapi Pedas
Donat Singkong (3pcs)
Kroepoek
Mie Jamin Pedas
Kwetiaw Goreng
Bakmi Goreng Spesial Sapi
Djeroek Panas
Ikan & Kentang Goreng
Loempia Sajoer
Ijs Djeroek Kietna Soda
Sprite
Roti Prata Kari Kambing
Djoes Stroberi
GF SINGKONG SAMBEL ROA
Milo Panas
Ijs Tjokelat
Koffie Roboesta Temanggung
GF NASI GORENG TERIMEDAN
Nasi-Ajam-Lada-Hitam
Teh Botol
Koffie Toebroek Djawa
Keripik Singkong BBQ @100gr
Keripik Singkong BBQ @200gr
Gandasturi
Banana Flambe Ala Mode
Roti Bakar Kedjoe Srikaja
Nasi Petjel Ndeso
Soto Tangkar + Nasi
Sop Ikan Dori + Nasi
Koenjit
Ijs Tjintjao Djahe Tjikini
Nasi Ikan Dori Geprek
Ijs Letji Yakult
Nasi Goreng Seafood
Nasi Poetih
Emping
Nasi Brijani Ajam
Ijs Teh Daon Mint
Ijs Mangga Djelita
Singkong Reboes
Nasi Goreng kambing Spesial Sambel Geprek
Tjokelat Panas
Nasi Goreng Ajam
Mie-Jamin-Bakso
Koffie Sisiliana 1 Liter
Toena Sandwich
Roti Prata Soesoe Tjokelat
Roti Bakar Tjokelat Katjang
Specialty Kerinci
Ijs-Koffie-Keponakan
Flores Bajawa
Roti Bakar Katjang
Teh Taloea Boekittinggi
Nasi Tjaptjai Babah Oey
Sop Iga Koewah (+Nasi)
Chicken Wings Original
Kwetiau Goreng Seafood
Sop Iga Bakar (+Nasi)
Ijs Milo
Ijs Koffie Degan
Bihoen Goreng
Kroketjes Blanda
Teh Limao
Toraja Kalosi
Ajam Goreng (1 pcs)
Milo Dino
Koffie Taloea Boekittinggi
Boeboer Ajam Tangerang
Koffie Keponakan 1 Liter
Specialty Mandailing
Soto Bihoen Ajam (+Nasi)
Djahe Merah
Ijs Letji Mint
Teh Daon Mint
Ijs Djeroek Letji
Koffie Mocha
Ijs Tjendol Ambyar Tape
Sambel Roa
Nasi Goreng Vegetarian
Roti Nogat  Moka Katjang Kedjoe
Ijs Koffie Mocha
Nasi-Tus-Tus-Tjakalang
Cappucino-
Bakmi Goreng Spesial Ajam
Affogato
Tape Goreng
Nasi Petjel Prijaji
Ijs Koffie kurma
Soto Bihoen Sapi (+Nasi)
Ijs Green Tea Latte
Roti-Bakar-Prantjis
Telor 1/2 Mateng
GF IJS TEH TARIK SEMENANJEONG
Pempek Kapal Selam
Es Krim (1 scoop)
Wedang Oewoeh Sachet
Loempia-Oedang
Koffie Single Origin Flores Bajawa (250gr)
